numero,pilar,slide1_capa,slide2_dor,slide3_solucao,slide4_tela,slide5_cta,legenda
01,Agenda,"Sua agenda ainda é uma zona de guerra às segundas de manhã?","Papel, WhatsApp da recepção e caderno de horário — ninguém sabe se aquele horário das 14h foi remarcado três vezes.","No GestOdonto, a Agenda mostra o dia, a semana ou a lista completa, com filtro por profissional e resumo do dia assim que você abre o sistema.","Print da Agenda em visão Dia, destacando o filtro por profissional e o resumo do dia no topo.","Testa grátis por 7 dias e organiza sua semana em 5 minutos. Link na bio.","Segunda-feira sem correria começa com uma agenda que faz sentido. 🦷 #GestOdonto"
03,Institucional,"Por que criamos o GestOdonto?","Porque vimos dentista bom de clínica virando refém de sistema ruim — travando, sem suporte, difícil de usar.","Criamos um sistema pensado pra quem atende, não pra quem programa: simples de aprender, rápido no dia a dia.","Print da tela inicial/dashboard, mostrando o visual limpo do sistema.","Se você já sofreu com sistema de clínica, testa o GestOdonto. Link na bio.","Gestão de clínica não devia ser a parte mais difícil do seu dia. 🦷"
05,Odontograma,"Explicar tratamento pro paciente sem desenho na mão?","Explicar um canal ou extração só de boca deixa o paciente com mais dúvida do que confiança.","O Odontograma do GestOdonto é um mapa visual da boca, conectado ao histórico e ao orçamento — mostra o dente e o tratamento na tela.","Print do Odontograma com um dente marcado/alertado e o tratamento ao lado.","Paciente que entende o tratamento confia mais e falta menos. Testa grátis.","Um bom desenho vale mais que mil explicações. 🦷"
07,Pacientes (Ficha 360°),"Onde está a ficha completa do seu paciente agora?","Espalhada entre WhatsApp, papel, planilha e a memória de quem atendeu da última vez.","No GestOdonto, cada paciente tem ficha única: dados, timeline, documentos, agenda, financeiro, orçamentos e anamnese — tudo no mesmo lugar.","Print da tela do Paciente, mostrando as abas (timeline, financeiro, documentos).","Atendimento rápido começa com informação na mão. Testa grátis 7 dias.","Tudo sobre o paciente, num clique. Sem adivinhação. 🗂️"
09,WhatsApp,"Sabia que confirmar consulta por WhatsApp reduz falta?","Ligar pra confirmar consulta toma tempo da recepção — e ainda assim tem gente que esquece.","O GestOdonto manda a confirmação automática pelo WhatsApp e registra a resposta do paciente direto na agenda.","Print do histórico de mensagens de WhatsApp dentro da ficha do paciente.","Menos ligação, menos falta. Testa grátis.","A recepção agradece — e o caixa também. 📲"
11,Documentos da clínica,"Atestado feito no Word, com fonte errada, sem logo?","Documento sem identidade passa a impressão errada — mesmo quando o atendimento foi ótimo.","No GestOdonto, atestados, prescrições e orçamentos saem prontos, com a identidade visual da sua clínica, direto do prontuário.","Print de um atestado/orçamento gerado com o logo da clínica.","Documento profissional em segundos. Testa grátis.","Detalhe pequeno, impressão grande. 📄"
13,Financeiro,"Convênio e comissão de dentista, tudo na mesma planilha confusa?","Calcular repasse de convênio e comissão na mão é fonte garantida de erro (e de discussão no fim do mês).","O Financeiro do GestOdonto organiza convênios, comissões e recebimentos com relatório pronto pra fechar o mês.","Print do relatório financeiro com comissões por profissional.","Fim de mês sem dor de cabeça. Testa grátis 7 dias.","Comissão certa é sócio e equipe em paz. 💼"
15,Agenda,"Você abre o sistema de manhã e já sabe como vai ser seu dia?","Sem visão clara, o dia começa no improviso — e qualquer imprevisto vira caos.","O resumo do dia do GestOdonto mostra, assim que você abre o sistema, quantas consultas tem, horários livres e o que precisa de atenção.","Print do resumo do dia na tela inicial da Agenda.","Comece o dia sabendo o que vem por aí. Testa grátis.","Dia organizado começa antes do primeiro paciente chegar. ☀️"
17,IA clínica,"E se o sistema resumisse o prontuário pra você?","Ler todo o histórico de um paciente antigo antes de cada retorno toma tempo que você não tem entre um atendimento e outro.","A IA clínica do GestOdonto gera um resumo do histórico do paciente, direto no prontuário, pra você se atualizar em segundos.","Print do resumo clínico gerado por IA dentro do prontuário.","Menos tempo lendo, mais tempo atendendo. Testa grátis.","Resumo pronto antes de você abrir a boca do paciente. 🤖🦷"
19,Permissões & Auditoria,"Sua recepção tem acesso ao financeiro inteiro da clínica?","Sistema sem controle de permissão é porta aberta pra erro (e, às vezes, pra coisa pior).","No GestOdonto, cada função da equipe tem seu nível de acesso — e tudo o que é feito no sistema fica registrado na auditoria.","Print da tela de permissões por função.","Controle de verdade sobre quem vê o quê. Testa grátis.","Confiança na equipe + controle no sistema. 🔐"
